in s,CH2 in V
-3.7200E-07,1.9173975587E-03
-3.7100E-07,1.9110632539E-03
-3.7000E-07,1.9169626832E-03
-3.6900E-07,1.9055185914E-03
-3.6800E-07,1.9168282151E-03
-3.6700E-07,1.9087124467E-03
-3.6600E-07,1.9241829515E-03
-3.6500E-07,1.9172421098E-03
-3.6400E-07,1.9227982163E-03
-3.6300E-07,1.9194298387E-03
-3.6200E-07,1.9332590699E-03
-3.6100E-07,1.9290147424E-03
-3.6000E-07,1.9046016335E-03
-3.5900E-07,1.9252834916E-03
-3.5800E-07,1.9205160737E-03
-3.5700E-07,1.9135137200E-03
-3.5600E-07,1.8948803544E-03
-3.5500E-07,1.9204965234E-03
-3.5400E-07,1.9263783097E-03
-3.5300E-07,1.9216371179E-03
-3.5200E-07,1.9227347970E-03
-3.5100E-07,1.9306231141E-03
-3.5000E-07,1.9360905290E-03
-3.4900E-07,1.9125853181E-03
-3.4800E-07,1.9200869203E-03
-3.4700E-07,1.9280467629E-03
-3.4600E-07,1.9167242646E-03
-3.4500E-07,1.9186559319E-03
-3.4400E-07,1.9150243402E-03
-3.4300E-07,1.9264732003E-03
-3.4200E-07,1.9222260118E-03
-3.4100E-07,1.9315424562E-03
-3.4000E-07,1.9112516046E-03
-3.3900E-07,1.9328404069E-03
-3.3800E-07,1.9421368241E-03
